Watershed,REP,TIME,COVER,DEPTH,FRACTION,N_Pct,C_Pct,d15N,d13C,Bulk_Density_g_cm3,Volume_cm3,fraction %,g of soil in total section,mg_N_g_soil,N_F_Value,mg_Derived_N_g_Soil,Total_g_N,Total_derived_mg_N,Total_mg_N,mg_C_g_soil,C_F_Value,mg_Derived_C_g_soil,Total_g_C,Total_derived_mg_C,Total_mg_C,CN_Ratio,Derived_CN
R20B,R1,4mts,B,2-5,bulk,0.380109288,4.924058115,1.11,-13.36,0.583,942.4777961,100,549.7388467,3.801092876,,,2.089608414,,2089.608414,49.24058115,,,27.06946029,,27069.46029,12.95432202,#DIV/0!
R20B,R1,4mts,C,2-5,bulk,0.380425806,4.934241429,81.63,25.33,0.583,942.4777961,100,549.7388467,3.804258057,0.00454191,0.017278598,2.091348437,9.49871677,2091.348437,49.34241429,0.012490555,0.616314156,27.12544192,338.8118333,27125.44192,12.97031209,35.66922159
R20B,R1,4mts,L,2-5,bulk,0.363791653,4.555995605,63.23,-4.43,0.583,942.4777961,100,549.7388467,3.637916529,0.003226716,0.011738523,1.999904037,6.453121861,1999.904037,45.55995605,0.002919135,0.132995674,25.04607769,73.11288872,25046.07769,12.52363975,11.32984783
R20B,R2,4mts,B,2-5,bulk,0.395885159,4.944064508,1.33,-14.05,0.583,942.4777961,100,549.7388467,3.958851588,,,2.176334506,,2176.334506,49.44064508,,,27.17944321,,27179.44321,12.48863313,#DIV/0!
R20B,R2,4mts,C,2-5,bulk,0.362488432,4.557846654,108.99,9.18,0.583,942.4777961,100,549.7388467,3.624884318,0.006072853,0.02201339,1.992739725,12.10161578,1992.739725,45.57846654,0.007497423,0.341721049,25.05625363,187.8573352,25056.25363,12.57377134,15.52332669
R20B,R2,4mts,L,2-5,bulk,0.398837777,5.221528868,59.26,-5.72,0.583,942.4777961,100,549.7388467,3.988377766,0.003008979,0.012000944,2.192566193,6.597385264,2192.566193,52.21528868,0.00272312,0.142188486,28.70477258,78.16653453,28704.77258,13.09186134,11.84810821
R20B,R3,4mts,B,2-5,bulk,0.365415669,4.682048251,1.66,-13.92,0.583,942.4777961,100,549.7388467,3.654156687,,,2.008831883,,2008.831883,46.82048251,,,25.73903806,,25739.03806,12.81293785,#DIV/0!
R20B,R3,4mts,C,2-5,bulk,0.387333039,4.957386929,50.21,9.71,0.583,942.4777961,100,549.7388467,3.873330392,0.002738623,0.010607592,2.129320183,5.831405162,2129.320183,49.57386929,0.007628342,0.378166424,27.25268173,207.892774,27252.68173,12.79877115,35.65054532
R20B,R3,4mts,L,2-5,bulk,0.355751105,4.39324767,51.98,-4.05,0.583,942.4777961,100,549.7388467,3.557511052,0.002613946,0.00929914,1.955702023,5.112098632,1955.702023,43.9324767,0.003225718,0.141713775,24.15138907,77.9055673,24151.38907,12.34921721,15.23944918
R20B,R4,4mts,B,2-5,bulk,0.426391908,5.638788717,1.14,-13.55,0.583,942.4777961,100,549.7388467,4.263919084,,,2.34404196,,2344.04196,56.38788717,,,30.99861206,,30998.61206,13.22442712,#DIV/0!
R20B,R4,4mts,C,2-5,bulk,0.379629171,5.107076936,39.71,0.57,0.583,942.4777961,100,549.7388467,3.796291705,0.002175645,0.008259382,2.086969024,4.540503127,2086.969024,51.07076936,0.00456059,0.23291282,28.07558585,128.0412251,28075.58585,13.4528043,28.19978788
R20B,R4,4mts,L,2-5,bulk,0.38455077,5.16166474,77.80,-3.57,0.583,942.4777961,100,549.7388467,3.845507701,0.003982534,0.015314865,2.114024968,8.419176152,2114.024968,51.6166474,0.003264028,0.168478176,28.37567621,92.61899811,28375.67621,13.42258329,11.00095739
R20B,R1,4mts,B,5-10,bulk,0.312202504,3.879695015,2.93,-13.17,0.669,1570.796327,100,1050.854669,3.122025039,,,3.280794588,,3280.794588,38.79695015,,,40.76995619,,40769.95619,12.42685426,#DIV/0!
R20B,R1,4mts,C,5-10,bulk,0.307991651,3.830928836,5.26,-11.70,0.669,1570.796327,100,1050.854669,3.079916513,0.000131814,0.000405975,3.236544647,0.426621053,3236.544647,38.30928836,0.000473451,0.018137587,40.25749452,19.0599684,40257.49452,12.43841779,44.67657723
R20B,R1,4mts,L,5-10,bulk,0.352270525,4.049823273,14.96,-12.00,0.669,1570.796327,100,1050.854669,3.522705251,0.000625408,0.002203129,3.701851259,2.315168396,3701.851259,40.49823273,0.000381162,0.015436377,42.55775693,16.22138875,42557.75693,11.49634438,7.006569708
R20B,R2,4mts,B,5-10,bulk,0.322372843,3.998973993,2.86,-13.70,0.669,1570.796327,100,1050.854669,3.223728428,,,3.387670069,,3387.670069,39.98973993,,,42.0234049,,42023.4049,12.4048104,#DIV/0!
R20B,R2,4mts,C,5-10,bulk,0.310442542,3.685137355,8.88,-7.16,0.669,1570.796327,100,1050.854669,3.104425416,0.000339602,0.00105427,3.262299941,1.107884901,3262.299941,36.85137355,0.002111115,0.077797472,38.72543794,81.75383622,38725.43794,11.87059395,73.79271633
R20B,R2,4mts,L,5-10,bulk,0.316754458,4.387026707,13.06,-11.92,0.669,1570.796327,100,1050.854669,3.167544577,0.000529731,0.001677946,3.328629006,1.763277439,3328.629006,43.87026707,0.000580437,0.025463912,46.10127497,26.75887127,46101.27497,13.84992887,15.17564433
R20B,R3,4mts,B,5-10,bulk,0.303096955,3.799881487,3.02,-13.44,0.669,1570.796327,100,1050.854669,3.03096955,,,3.185108502,,3185.108502,37.99881487,,,39.93123201,,39931.23201,12.53685141,#DIV/0!
R20B,R3,4mts,C,5-10,bulk,0.324734025,4.075842665,9.30,-11.24,0.669,1570.796327,100,1050.854669,3.247340248,0.000354338,0.001150656,3.41248266,1.209172037,3412.48266,40.75842665,0.000709873,0.028933319,42.83118293,30.40471299,42831.18293,12.55132617,25.14506792
R20B,R3,4mts,L,5-10,bulk,0.312216515,3.752244125,19.60,-12.50,0.669,1570.796327,100,1050.854669,3.12216515,0.000861272,0.002689032,3.280941824,2.825781789,3280.941824,37.52244125,0.000306426,0.011497852,39.43063256,12.08257156,39430.63256,12.01808343,4.275833188
R20B,R4,4mts,B,5-10,bulk,0.363729741,4.78016765,1.83,-13.39,0.669,1570.796327,100,1050.854669,3.637297411,,,3.822270965,,3822.270965,47.8016765,,,50.23261492,,50232.61492,13.14208631,#DIV/0!
R20B,R4,4mts,C,5-10,bulk,0.614598518,8.188636844,7.28,-12.12,0.669,1570.796327,100,1050.854669,6.145985182,0.00030706,0.001887186,6.458537222,1.983158608,6458.537222,81.88636844,0.000409885,0.033564032,86.05067257,35.27092006,86050.67257,13.32355448,17.785224
R20B,R4,4mts,L,5-10,bulk,0.316275498,3.768731998,17.31,-11.64,0.669,1570.796327,100,1050.854669,3.162754983,0.000804028,0.002542943,3.323595839,2.672263349,3323.595839,37.68731998,0.000574839,0.021664123,39.60389615,22.76584463,39603.89615,11.91597838,8.51931178
R20B,R1,4mts,B,10-20,bulk,0.268658463,3.113881763,6.50,-12.85,0.802,3141.592654,100,2520.155824,2.686584632,,,6.770611905,,6770.611905,31.13881763,,,78.47467261,,78474.67261,11.59048454,#DIV/0!
R20B,R1,4mts,C,10-20,bulk,0.272864979,3.111943552,3.73,-12.74,0.802,3141.592654,100,2520.155824,2.728649793,-0.000156613,-0.000427341,6.876622668,0,6876.622668,31.11943552,3.61946E-05,0.001126354,78.42582665,2.838588381,78425.82665,11.40470118,#DIV/0!
R20B,R1,4mts,L,10-20,bulk,0.26417121,3.216080471,7.56,-12.50,0.802,3141.592654,100,2520.155824,2.641712095,5.49088E-05,0.000145053,6.657526122,0.365556575,6657.526122,32.16080471,0.000115263,0.003706945,81.05023929,9.342079855,81050.23929,12.17422775,25.55577028
R20B,R2,4mts,B,10-20,bulk,0.269236826,3.183284087,4.21,-12.92,0.802,3141.592654,100,2520.155824,2.692368256,,,6.785187541,,6785.187541,31.83284087,,,80.22371931,,80223.71931,11.82336064,#DIV/0!
R20B,R2,4mts,C,10-20,bulk,0.262019815,3.01431231,5.06,-12.40,0.802,3141.592654,100,2520.155824,2.620198152,4.79127E-05,0.000125541,6.603307633,0.316382429,6603.307633,30.1431231,0.00016602,0.00500436,75.96536723,12.61176698,75965.36723,11.50413875,39.86241281
R20B,R2,4mts,L,10-20,bulk,0.300047277,3.632876262,5.33,-12.82,0.802,3141.592654,100,2520.155824,3.000472765,5.79078E-05,0.000173751,7.561658914,0.437879172,7561.658914,36.32876262,3.24037E-05,0.001177185,91.5541427,2.966690273,91554.1427,12.10767951,6.775134477
R20B,R3,4mts,B,10-20,bulk,0.270845667,3.156801546,3.29,-13.07,0.802,3141.592654,100,2520.155824,2.708456672,,,6.825732856,,6825.732856,31.56801546,,,79.55631801,,79556.31801,11.65535184,#DIV/0!
R20B,R3,4mts,C,10-20,bulk,0.271242296,3.392991224,11.35,-10.50,0.802,3141.592654,100,2520.155824,2.712422963,0.000454429,0.001232603,6.835728526,3.106351948,6835.728526,33.92991224,0.000831157,0.028201079,85.50866593,71.07111429,85508.66593,12.50907867,22.87928589
R20B,R3,4mts,L,10-20,bulk,0.257737176,2.9252613,5.68,-12.41,0.802,3141.592654,100,2520.155824,2.57737176,0.000124078,0.000319795,6.495378451,0.805933279,6495.378451,29.252613,0.000216482,0.006332676,73.721143,15.95933068,73721.143,11.34978409,19.80229765
R20B,R4,4mts,B,10-20,bulk,0.288236357,3.498871856,3.15,-13.05,0.802,3141.592654,100,2520.155824,2.882363568,,,7.264005331,,7264.005331,34.98871856,,,88.17702286,,88177.02286,12.13889842,#DIV/0!
R20B,R4,4mts,C,10-20,bulk,0.28709658,3.577714998,4.11,-11.99,0.802,3141.592654,100,2520.155824,2.870965798,5.40173E-05,0.000155082,7.235281176,0.390830033,7235.281176,35.77714998,0.000342486,0.012253182,90.16399289,30.87992894,90163.99289,12.46171237,79.0111463
R20B,R4,4mts,L,10-20,bulk,0.270239478,3.36012756,6.38,-12.52,0.802,3141.592654,100,2520.155824,2.70239478,0.000167956,0.000453883,6.810455942,1.14385527,6810.455942,33.6012756,0.000173782,0.0058393,84.68045038,14.71594533,84680.45038,12.43388858,12.86521618
R20B,R1,4mts,B,0-2,bulk,0.390893436,4.939026554,1.36,-13.32,0.436,628.3185307,100,273.6749188,3.908934359,,,1.069777293,,1069.777293,49.39026554,,,13.51687691,,13516.87691,12.6352251,#DIV/0!
R20B,R1,4mts,C,0-2,bulk,0.440642676,6.223064434,622.04,268.96,0.436,628.3185307,100,273.6749188,4.406426757,0.035011349,0.154274944,1.205928485,42.22118271,1205.928485,62.23064434,0.091128972,5.67101463,17.03096654,1552.014468,17030.96654,14.12270027,36.75914242
R20B,R1,4mts,L,0-2,bulk,0.409183633,5.469415959,289.43,23.71,0.436,628.3185307,100,273.6749188,4.091836329,0.014963701,0.061229015,1.119832975,16.75684584,1119.832975,54.69415959,0.012108079,0.662241192,14.96841969,181.2388045,14968.41969,13.36665379,10.81580664
R20B,R2,4mts,B,0-2,bulk,0.420771615,5.684751478,0.67,-14.58,0.436,628.3185307,100,273.6749188,4.207716148,,,1.151546375,,1151.546375,56.84751478,,,15.55773899,,15557.73899,13.51030173,#DIV/0!
R20B,R2,4mts,C,0-2,bulk,0.39907288,5.49076471,660.49,274.91,0.436,628.3185307,100,273.6749188,3.9907288,0.037217921,0.148526628,1.09216238,40.64801273,1092.16238,54.9076471,0.093418538,5.12939212,15.02684586,1403.785972,15026.84586,13.75880193,34.53516858
R20B,R2,4mts,L,0-2,bulk,0.438777063,5.907444676,281.64,31.20,0.436,628.3185307,100,273.6749188,4.38777063,0.014594469,0.064037184,1.200822771,17.525371,1200.822771,59.07444676,0.014961816,0.883861026,16.16719442,241.8905946,16167.19442,13.46343092,13.8023095
R20B,R3,4mts,B,0-2,bulk,0.457968355,6.198986822,0.42,-13.77,0.436,628.3185307,100,273.6749188,4.579683554,,,1.253344525,,1253.344525,61.98986822,,,16.96507215,,16965.07215,13.53584096,#DIV/0!
R20B,R3,4mts,C,0-2,bulk,0.453736776,6.543867472,674.19,284.93,0.436,628.3185307,100,273.6749188,4.537367762,0.038004576,0.172440739,1.241763754,47.19270529,1241.763754,65.43867472,0.096416162,6.309345849,17.90892399,1726.709713,17908.92399,14.42216681,36.58848761
R20B,R3,4mts,L,0-2,bulk,0.444204678,5.717446096,231.34,20.50,0.436,628.3185307,100,273.6749188,4.442046781,0.011994451,0.053279913,1.215676792,14.58137584,1215.676792,57.17446096,0.011202305,0.640485727,15.64721596,175.2848794,15647.21596,12.8711974,12.02114817
R20B,R4,4mts,B,0-2,bulk,0.47262722,6.350052149,0.68,-13.68,0.436,628.3185307,100,273.6749188,4.726272203,,,1.293462161,,1293.462161,63.50052149,,,17.37850006,,17378.50006,13.43564627,#DIV/0!
R20B,R4,4mts,C,0-2,bulk,0.472455355,6.975059942,636.39,248.70,0.436,628.3185307,100,273.6749188,4.724553549,0.035858369,0.169414786,1.292991809,46.36457786,1292.991809,69.75059942,0.084692259,5.907335832,19.08898963,1616.689654,19088.98963,14.76342658,34.86906878
R20B,R4,4mts,L,0-2,bulk,0.445956703,6.131187997,259.90,23.27,0.436,628.3185307,100,273.6749188,4.459567034,0.013465078,0.06004842,1.220471646,16.43374642,1220.471646,61.31187997,0.012080291,0.740665326,16.77952377,202.701523,16779.52377,13.74839295,12.33446822
R20B,R1,4mts,B,0-2,LF,1.640525754,30.02572019,0.765104,-15.5073,0.436,628.3185307,4.393848612,12.02486162,0.720822181,,,0.197270952,,8.667786975,13.1928469,,,3.610551303,,158.6421583,18.30249853,#DIV/0!
R20B,R1,4mts,C,0-2,LF,1.593189736,36.75828785,3808.77,919.516,0.436,628.3185307,5.630990415,15.41060845,0.897123613,0.214797057,0.192699512,0.245520232,52.73702321,13.82522074,20.69855666,0.30163917,6.243495443,5.664675813,1708.688108,318.9773521,23.07213448,32.40016225
R20B,R1,4mts,L,0-2,LF,1.646785029,28.17361377,466.047,20.6953,0.436,628.3185307,3.810853951,10.42935146,0.627565724,0.024168231,0.015167154,0.171748998,4.150869552,6.545103492,10.73655273,0.011827495,0.126986525,2.938325198,34.7530269,111.9752819,17.1082523,8.372469062
R20B,R2,4mts,B,0-2,LF,1.660540119,30.25746471,1.07755,-16.8222,0.436,628.3185307,3.799240152,10.3975674,0.630879069,,,0.172655778,,6.559607646,11.49553748,,,3.146040288,,119.5256258,18.22145962,#DIV/0!
